home,away,league,home_score,away_score,home_starting_1,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,home_bench_3,home_bench_4,home_bench_5,away_starting_1,away_starting_2,away_starting_3,away_starting_4,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11,away_bench_3,away_bench_4,away_bench_5
Stoke City,Manchester City,2009-2010 Barclays Premier League,1,1,Thomas Sorensen,Abdoulaye Faye,Ryan Shawcross,Danny Higginbotham,Robert Huth,Glenn Whelan,Dean Whitehead,Rory Delap,Liam Lawrence,Mamady Sidibe,Ricardo Fuller,Tuncay Sanli,Asmir Begovic,Danny Collins,Shay Given,Joleon Lescott,Kolo Toure,Javier Garrido,Patrick Vieira,Nigel de Jong,Gareth Barry,Adam Johnson,Emmanuel Adebayor,Roque Santa Cruz,Nedum Onuoha,Stephen Ireland,Shaun Wright-Phillips
Wigan Athletic,Bolton Wanderers,2009-2010 Barclays Premier League,0,0,Chris Kirkland,Titus Bramble,Gary Caldwell,Maynor Figueroa,Mario Melchiot,Mohamed Diame,Paul Scharner,Marcelo Moreno,James McCarthy,Hugo Rodallega,Charles N'Zogbia,Vladimir Stojkovic,Hendry Thomas,Jordi Gomez,Jussi Jaaskelainen,Sam Rickett,Zat Knight,Paul Robinson,Ricardo Gardner,Fabrice Muamba,Matthew Taylor,Lee Chung-Yong,Johan Elmander,Kevin Davies,Ali Al Habsi,Mark Davies,Tamir Cohen
Everton,Manchester United,2009-2010 Barclays Premier League,3,1,Tim Howard,Sylvain Distin,John Heitinga,Leighton Baines,Phil Neville,Leon Osman,Mikel Arteta,Steven Pienaar,Landon Donovan,Diniyar Bilyaletdinov,Louis Saha,Yakubu Aiyegbeni,James Vaughan,Seamus Coleman,Edwin van der Sar,Jonny Evans,Wes Brown,Patrice Evra,Michael Carrick,Darren Fletcher,Park Ji-Sung,Antonio Valencia,Wayne Rooney,Dimitar Berbatov,Rafael,Darron Gibson,Gabriel Obertan
Arsenal,Sunderland,2009-2010 Barclays Premier League,2,0,Manuel Almunia,Mikael Silvestre,Thomas Vermaelen,Gael Clichy,Emmanuel Eboue,Alex Song,Aaron Ramsey,Cesc Fabregas,Samir Nasri,Nicklas Bendtner,Theo Walcott,Lukasz Fabianski,Armand Traore,Denilson,Craig Gordon,John Mensah,Michael Turner,George McCartney,Anton Ferdinand,Lorik Cana,Kieran Richardson,Darren Bent,Fraizer Campbell,Kenwyne Jones,Trevor Carson,Paulo da Silva,Phil Bardsley
West Ham United,Hull City,2009-2010 Barclays Premier League,3,0,Robert Green,Matthew Upson,James Tomkins,Jonathan Spector,Julien Faubert,Radoslav Kovac,Scott Parker,Alessandro Diamanti,Valon Behrami,Carlton Cole,Guillermo Franco,Marek Stech,Junior Stanislas,Jack Collison,Boaz Myhill,Anthony Gardner,Steven Mouyokolo,Andy Dawson,Tom Cairney,George Boateng,Stephen Hunt,Craig Fagan,Amr Zaki,Jan Vennegoor of Hesselink,Matt Duke,Kamil Zayatte,Jozy Altidore
Wolverhampton Wanderers,Chelsea,2009-2010 Barclays Premier League,0,2,Marcus Hahnemann,Christophe Berra,Jody Craddock,Stephen Ward,Ronald Zubar,David Jones,Adlene Guedioura,Karl Henry,Matthew Jarvis,Kevin Foley,Kevin Doyle,Sam Vokes,Nenad Milijas,Sylvan Ebanks-Blake,Petr Cech,John Terry,Branislav Ivanovic,John Obi Mikel,Paulo Ferreira,Joe Cole,Florent Malouda,Michael Ballack,Didier Drogba,Nicolas Anelka,Daniel Sturridge,Gael Kakuta,Nemanja Matic
Portsmouth,Stoke City,2009-2010 Barclays Premier League,1,2,David James,Hermann Hreidarsson,Marc Wilson,Nadir Belhadj,Steve Finnan,Jamie O'Hara,Hassan Yebda,Papa Bouba Diop,Quincy Owusu-Abeyie,Aruna Dindane,Frederic Piquionne,Angelos Basinas,Ricardo Rocha,Danny Webber,Thomas Sorensen,Robert Huth,Ryan Shawcross,Danny Collins,Glenn Whelan,Dean Whitehead,Tuncay Sanli,Rory Delap,Mamady Sidibe,Ricardo Fuller,Amdy Faye,Danny Pugh,Asmir Begovic
Blackburn Rovers,Bolton Wanderers,2009-2010 Barclays Premier League,3,0,Paul Robinson,Gael Givet,Ryan Nelsen,Martin Olsson,Michel Salgado,Steven N'Zonzi,Morten Gamst Pedersen,Keith Andrews,El-Hadji Diouf,Nikola Kalinic,Junior Hoilett,Pascal Chimbonda,Franco Di Santo,Vince Grella,Jussi Jaaskelainen,Sam Rickett,Zat Knight,Paul Robinson,Ricardo Gardner,Fabrice Muamba,Matthew Taylor,Lee Chung-Yong,Johan Elmander,Kevin Davies,Tamir Cohen,Jack Wilshere,Mark Davies
Aston Villa,Burnley,2009-2010 Barclays Premier League,5,2,Brad Friedel,Richard Dunne,James Collins,Stephen Warnock,Carlos Jimenez Cuellar,Stiliyan Petrov,James Milner,Stewart Downing,Ashley Young,Emile Heskey,Gabriel Agbonlahor,Brad Guzan,Fabian Delph,Steve Sidwell,Brian Jensen,Leon Cort,Clarke Carlisle,Daniel Fox,Jack Cork,Andre Bikey,Kevin McDonald,Chris Eagles,David Nugent,Steven Fletcher,Steve Thompson,Mike Duff,Wade Elliott
Fulham,Birmingham City,2009-2010 Barclays Premier League,2,1,Mark Schwarzer,Brede Hangeland,Aaron Hughes,Nicky Shorey,Chris Baird,Dickson Etuhu,Danny Murphy,Zoltan Gera,Simon Davies,Damien Duff,Bobby Zamora,David Elm,Pascal Zuberbuhler,Stephen Kelly,Joe Hart,Scott Dann,Roger Johnson,Liam Ridgewell,Lee Bowyer,Barry Ferguson,James McFadden,Keith Fahey,Sebastian Larsson,Cameron Jerome,Gregory Vignal,Cristian Roman Benitez,Michel
Manchester City,Liverpool,2009-2010 Barclays Premier League,0,0,Shay Given,Joleon Lescott,Vincent Kompany,Wayne Bridge,Pablo Zabaleta,Gareth Barry,Nigel de Jong,Emmanuel Adebayor,Stephen Ireland,Adam Johnson,Shaun Wright-Phillips,Roque Santa Cruz,Kolo Toure,Micah Richards,Pepe Reina,Daniel Agger,Martin Skrtel,Emiliano Insua,Javier Mascherano,Lucas Leiva,Maxi Rodriguez,Ryan Babel,Dirk Kuyt,Steven Gerrard,Albert Riera,Martin Kelly,Yossi Benayoun
Wigan Athletic,Tottenham Hotspur,2009-2010 Barclays Premier League,0,3,Chris Kirkland,Paul Scharner,Gary Caldwell,Maynor Figueroa,Mario Melchiot,Hendry Thomas,Mohamed Diame,James McCarthy,Charles N'Zogbia,Hugo Rodallega,Marcelo Moreno,Jordi Gomez,Ben Watson,Jason Scotland,Heurelho Gomes,Ledley King,Michael Dawson,Gareth Bale,Tom Huddlestone,Wilson Palacios,Niko Kranjcar,David Bentley,Peter Crouch,Jermain Defoe,Younes Kaboul,Danny Rose,Sebastien Bassong
Manchester United,West Ham United,2009-2010 Barclays Premier League,3,0,Ben Foster,Nemanja Vidic,Wes Brown,Patrice Evra,Gary Neville,Paul Scholes,Darron Gibson,Anderson,Antonio Valencia,Wayne Rooney,Dimitar Berbatov,Rafael,Jonny Evans,Park Ji-Sung,Robert Green,Matthew Upson,James Tomkins,Jonathan Spector,Radoslav Kovac,Mark Noble,Alessandro Diamanti,Valon Behrami,Carlton Cole,Guillermo Franco,Marek Stech,Fabio Daprela,Kieron Courtney Dyer
Chelsea,Manchester City,2009-2010 Barclays Premier League,2,4,Henrique Hilario,John Terry,Ricardo Carvalho,Florent Malouda,Branislav Ivanovic,John Obi Mikel,Frank Lampard,Michael Ballack,Joe Cole,Didier Drogba,Nicolas Anelka,Alex,Nemanja Matic,Salomon Kalou,Shay Given,Joleon Lescott,Vincent Kompany,Wayne Bridge,Nigel de Jong,Pablo Zabaleta,Gareth Barry,Craig Bellamy,Adam Johnson,Carlos Tevez,Nedum Onuoha,Abdisalam Ibrahim,Roque Santa Cruz
Birmingham City,Wigan Athletic,2009-2010 Barclays Premier League,1,0,Joe Hart,Scott Dann,Roger Johnson,Liam Ridgewell,Stephen Carr,Lee Bowyer,Barry Ferguson,Cameron Jerome,James McFadden,Keith Fahey,Sebastian Larsson,Gregory Vignal,Cristian Roman Benitez,Michael Madera,Chris Kirkland,Titus Bramble,Gary Caldwell,Maynor Figueroa,Mohamed Diame,Hendry Thomas,Hugo Rodallega,Paul Scharner,James McCarthy,Charles N'Zogbia,Vladimir Stojkovic,Marcelo Moreno,Victor Moses
Bolton Wanderers,Wolverhampton Wanderers,2009-2010 Barclays Premier League,1,0,Jussi Jaaskelainen,Sam Rickett,Zat Knight,Fabrice Muamba,Paul Robinson,Gretar Rafn Steinsson,Stuart Holden,Jack Wilshere,Lee Chung-Yong,Johan Elmander,Kevin Davies,Ali Al Habsi,Tamir Cohen,Matthew Taylor,Marcus Hahnemann,Christophe Berra,Jody Craddock,Stephen Ward,Karl Henry,Adlene Guedioura,David Jones,Matthew Jarvis,Kevin Foley,Kevin Doyle,Wayne Hennessey,Sam Vokes,Nenad Milijas
Burnley,Portsmouth,2009-2010 Barclays Premier League,1,2,Brian Jensen,Leon Cort,Clarke Carlisle,Daniel Fox,Tyrone Mears,Kevin McDonald,Andre Bikey,Robbie Blake,Wade Elliott,Martin Paterson,Steven Fletcher,David Edgar,Mike Duff,Jack Cork,David James,Hermann Hreidarsson,Ricardo Rocha,Nadir Belhadj,Hassan Yebda,Marc Wilson,Jamie O'Hara,Quincy Owusu-Abeyie,Danny Webber,Frederic Piquionne,Nwankwo Kanu,Aruna Dindane,Michael Brown
Stoke City,Arsenal,2009-2010 Barclays Premier League,1,3,Thomas Sorensen,Abdoulaye Faye,Ryan Shawcross,Robert Huth,Andy Wilkinson,Dean Whitehead,Glenn Whelan,Danny Pugh,Rory Delap,Mamady Sidibe,Ricardo Fuller,Salif Diao,Asmir Begovic,Danny Collins,Manuel Almunia,Thomas Vermaelen,Sol Campbell,Gael Clichy,Aaron Ramsey,Alex Song,Nicklas Bendtner,Cesc Fabregas,Samir Nasri,Emmanuel Eboue,Lukasz Fabianski,Armand Traore,Tomas Rosicky
Tottenham Hotspur,Everton,2009-2010 Barclays Premier League,2,1,Heurelho Gomes,Sebastien Bassong,Michael Dawson,Gareth Bale,Vedran Corluka,Wilson Palacios,Tom Huddlestone,Luka Modric,Niko Kranjcar,Jermain Defoe,Roman Pavlyuchenko,Dorian Dervite,Kyle Walker,Younes Kaboul,Tim Howard,Sylvain Distin,John Heitinga,Leighton Baines,Mikel Arteta,Leon Osman,Yakubu Aiyegbeni,Jack Rodwell,Steven Pienaar,Victor Anichebe,Diniyar Bilyaletdinov,Dan Gosling,Phil Jagielka
Liverpool,Blackburn Rovers,2009-2010 Barclays Premier League,2,1,Pepe Reina,Daniel Agger,Jamie Carragher,Martin Skrtel,Fabio Aurelio,Emiliano Insua,Javier Mascherano,Lucas Leiva,Steven Gerrard,Yossi Benayoun,Ryan Babel,Yossi Benayoun,Fernando Torres,Diego Cavalieri,Paul Robinson,Gael Givet,Christopher Samba,Martin Olsson,Morten Gamst Pedersen,Keith Andrews,Steven N'Zonzi,Junior Hoilett,El-Hadji Diouf,Nikola Kalinic,Brett Emerton,Franco Di Santo,Pascal Chimbonda
Sunderland,Fulham,2009-2010 Barclays Premier League,0,0,Craig Gordon,John Mensah,Michael Turner,Anton Ferdinand,Alan Hutton,Lee Cattermole,Lorik Cana,Kieran Richardson,Fraizer Campbell,Darren Bent,Kenwyne Jones,Trevor Carson,Paulo da Silva,George McCartney,Mark Schwarzer,Brede Hangeland,Aaron Hughes,Nicky Shorey,Dickson Etuhu,Danny Murphy,Zoltan Gera,Simon Davies,Damien Duff,Bobby Zamora,Chris Smalling,Stephen Kelly,Bjorn Riise
Arsenal,Burnley,2009-2010 Barclays Premier League,3,1,Manuel Almunia,Mikael Silvestre,Thomas Vermaelen,Gael Clichy,Emmanuel Eboue,Denilson,Tomas Rosicky,Cesc Fabregas,Samir Nasri,Nicklas Bendtner,Theo Walcott,Armand Traore,Craig Eastmond,Andrey Arshavin,Brian Jensen,Leon Cort,Clarke Carlisle,Daniel Fox,Kevin McDonald,Graham Alexander,Jack Cork,Chris Eagles,Martin Paterson,David Nugent,Stephen Jordan,Mike Duff,Wade Elliott
West Ham United,Bolton Wanderers,2009-2010 Barclays Premier League,1,2,Robert Green,Matthew Upson,James Tomkins,Jonathan Spector,Julien Faubert,Scott Parker,Radoslav Kovac,Alessandro Diamanti,Valon Behrami,Guillermo Franco,Carlton Cole,Marek Stech,Fabio Daprela,Kieron Courtney Dyer,Jussi Jaaskelainen,Sam Rickett,Zat Knight,Paul Robinson,Fabrice Muamba,Tamir Cohen,Jack Wilshere,Lee Chung-Yong,Johan Elmander,Kevin Davies,Riga Mustapha,Ali Al Habsi,Vladimir Weiss
Wolverhampton Wanderers,Manchester United,2009-2010 Barclays Premier League,0,1,Marcus Hahnemann,Christophe Berra,Jody Craddock,Stephen Ward,Ronald Zubar,David Jones,Adlene Guedioura,Karl Henry,Matthew Jarvis,Kevin Foley,Kevin Doyle,Wayne Hennessey,Nenad Milijas,Andy Keogh,Edwin van der Sar,Nemanja Vidic,Rio Ferdinand,Patrice Evra,Paul Scholes,Michael Carrick,Darron Gibson,Nani,Dimitar Berbatov,Antonio Valencia,Rafael,Gabriel Obertan,Gary Neville
Everton,Hull City,2009-2010 Barclays Premier League,5,1,Tim Howard,Sylvain Distin,Phil Jagielka,Leighton Baines,Phil Neville,Mikel Arteta,John Heitinga,Steven Pienaar,Leon Osman,Yakubu Aiyegbeni,Victor Anichebe,Joseph Yobo,Diniyar Bilyaletdinov,Dan Gosling,Boaz Myhill,Kamil Zayatte,Steven Mouyokolo,Kevin Kilbane,Tom Cairney,George Boateng,Jimmy Bullard,Nick Barmby,Richard Garcia,Amr Zaki,Kamel Ghilas,Liam Cooper,Jozy Altidore
Wigan Athletic,Liverpool,2009-2010 Barclays Premier League,1,0,Chris Kirkland,Titus Bramble,Gary Caldwell,Maynor Figueroa,Emmerson Boyce,James McCarthy,Mohamed Diame,Marcelo Moreno,Paul Scharner,Hugo Rodallega,Charles N'Zogbia,Vladimir Stojkovic,Jordi Gomez,Hendry Thomas,Pepe Reina,Sotirios Kyrgiakos,Jamie Carragher,Emiliano Insua,Lucas Leiva,Steven Gerrard,Yossi Benayoun,Maxi Rodriguez,Fernando Torres,Dirk Kuyt,David Ngog,Albert Riera,Glen Johnson
Portsmouth,Birmingham City,2009-2010 Barclays Premier League,1,2,David James,Hermann Hreidarsson,Tal Ben Haim,Nadir Belhadj,Steve Finnan,Marc Wilson,Michael Brown,Frederic Piquionne,Jamie O'Hara,Aruna Dindane,Danny Webber,Jamie Ashdown,Aaron Mokoena,Quincy Owusu-Abeyie,Joe Hart,Scott Dann,Roger Johnson,Liam Ridgewell,Michel,Barry Ferguson,Keith Fahey,Craig Gardner,Cristian Roman Benitez,Cameron Jerome,David Murphy,Jake Jervis,Teemu Tainio
Sunderland,Bolton Wanderers,2009-2010 Barclays Premier League,4,0,Craig Gordon,Michael Turner,John Mensah,Anton Ferdinand,Alan Hutton,Lorik Cana,Lee Cattermole,Steed Malbranque,Fraizer Campbell,Kenwyne Jones,Darren Bent,Trevor Carson,Paulo da Silva,Boudewijn Zenden,Jussi Jaaskelainen,Sam Rickett,Zat Knight,Paul Robinson,Ricardo Gardner,Fabrice Muamba,Jack Wilshere,Lee Chung-Yong,Johan Elmander,Kevin Davies,Riga Mustapha,Ali Al Habsi,Matthew Taylor
Burnley,Stoke City,2009-2010 Barclays Premier League,1,1,Brian Jensen,Leon Cort,Clarke Carlisle,Daniel Fox,Tyrone Mears,Graham Alexander,Jack Cork,Chris Eagles,Martin Paterson,Steve Thompson,Kevin McDonald,Alexander MacDonald,Andre Bikey,Mike Duff,Thomas Sorensen,Robert Huth,Abdoulaye Faye,Danny Collins,Rory Delap,Dean Whitehead,Matthew Etherington,Liam Lawrence,Mamady Sidibe,Tuncay Sanli,Andrew Davies,Matthew Lund,Danny Pugh
Tottenham Hotspur,Blackburn Rovers,2009-2010 Barclays Premier League,3,1,Heurelho Gomes,Sebastien Bassong,Michael Dawson,Wilson Palacios,Benoit Assou-Ekotto,Vedran Corluka,Luka Modric,Gareth Bale,Niko Kranjcar,Jermain Defoe,Roman Pavlyuchenko,Danny Rose,Jake Livermore,Kyle Walker,Paul Robinson,Gael Givet,Christopher Samba,Pascal Chimbonda,Morten Gamst Pedersen,David Dunn,Steven N'Zonzi,Martin Olsson,Brett Emerton,Nikola Kalinic,Yildiray Basturk,Junior Hoilett,Jason Brown
Birmingham City,Everton,2009-2010 Barclays Premier League,2,2,Joe Hart,Scott Dann,Roger Johnson,Liam Ridgewell,Stephen Carr,Barry Ferguson,Lee Bowyer,Keith Fahey,Craig Gardner,Cameron Jerome,Cristian Roman Benitez,Franck Queudrue,Teemu Tainio,Michel,Tim Howard,Sylvain Distin,Phil Jagielka,Leighton Baines,John Heitinga,Mikel Arteta,Yakubu Aiyegbeni,Tim Cahill,Steven Pienaar,Victor Anichebe,Joseph Yobo,Diniyar Bilyaletdinov,Landon Donovan
Bolton Wanderers,Wigan Athletic,2009-2010 Barclays Premier League,4,0,Jussi Jaaskelainen,Zat Knight,Andrew O'Brien,Paul Robinson,Gretar Rafn Steinsson,Tamir Cohen,Fabrice Muamba,Jack Wilshere,Lee Chung-Yong,Johan Elmander,Kevin Davies,Ali Al Habsi,Danny Shittu,Matthew Taylor,Chris Kirkland,Titus Bramble,Gary Caldwell,Maynor Figueroa,James McCarthy,Mohamed Diame,Paul Scharner,Victor Moses,Charles N'Zogbia,Hugo Rodallega,Vladimir Stojkovic,Marcelo Moreno,Jason Scotland
Burnley,Wolverhampton Wanderers,2009-2010 Barclays Premier League,1,2,Brian Jensen,Leon Cort,Clarke Carlisle,Daniel Fox,Tyrone Mears,Graham Alexander,Andre Bikey,Chris Eagles,Wade Elliott,David Nugent,Martin Paterson,Jay Rodriguez,Mike Duff,Stephen Jordan,Marcus Hahnemann,Christophe Berra,Jody Craddock,Stephen Ward,David Jones,Adlene Guedioura,Karl Henry,Matthew Jarvis,Kevin Foley,Kevin Doyle,Sam Vokes,Nenad Milijas,Andy Keogh
Chelsea,West Ham United,2009-2010 Barclays Premier League,4,1,Ross Turnbull,John Terry,Alex,Paulo Ferreira,Branislav Ivanovic,John Obi Mikel,Frank Lampard,Michael Ballack,Florent Malouda,Didier Drogba,Nicolas Anelka,Rhys Taylor,Jeffrey Bruma,Yury Zhirkov,Robert Green,Matthew Upson,Daniel Gabbidon,Fabio Daprela,Scott Parker,Valon Behrami,Radoslav Kovac,Kieron Courtney Dyer,Hossam Mido,Aruajo Ilan,James Tomkins,Jack Collison,Junior Stanislas
Stoke City,Aston Villa,2009-2010 Barclays Premier League,0,0,Thomas Sorensen,Danny Higginbotham,Abdoulaye Faye,Danny Collins,Robert Huth,Dean Whitehead,Glenn Whelan,Matthew Etherington,Rory Delap,Mamady Sidibe,Tuncay Sanli,Danny Pugh,Asmir Begovic,Louis Moult,Brad Friedel,Richard Dunne,James Collins,Stephen Warnock,Stiliyan Petrov,James Milner,Stewart Downing,Ashley Young,John Carew,Emile Heskey,Habib Beye,Brad Guzan,Fabian Delph
Hull City,Arsenal,2009-2010 Barclays Premier League,1,2,Boaz Myhill,Kamil Zayatte,Steven Mouyokolo,Andy Dawson,Bernard Mendy,George Boateng,Jimmy Bullard,Dean Marney,Craig Fagan,Jan Vennegoor of Hesselink,Jozy Altidore,Seyi George Olofinjana,Amr Zaki,Liam Cooper,Manuel Almunia,Thomas Vermaelen,Sol Campbell,Gael Clichy,Abou Diaby,Denilson,Nicklas Bendtner,Samir Nasri,Andrey Arshavin,Emmanuel Eboue,Armand Traore,Fran Merida,Craig Eastmond
Manchester United,Fulham,2009-2010 Barclays Premier League,3,0,Edwin van der Sar,Nemanja Vidic,Rio Ferdinand,Patrice Evra,Gary Neville,Michael Carrick,Darren Fletcher,Nani,Antonio Valencia,Wayne Rooney,Dimitar Berbatov,Gabriel Obertan,Oliver Gill,Mame Biram Diouf,Mark Schwarzer,Brede Hangeland,Aaron Hughes,Nicky Shorey,Chris Baird,Danny Murphy,Simon Davies,Zoltan Gera,Clint Dempsey,Bobby Zamora,Kagisho Dikgacoi,Pascal Zuberbuhler,Jonathan Greening
Sunderland,Manchester City,2009-2010 Barclays Premier League,1,1,Craig Gordon,John Mensah,Michael Turner,Anton Ferdinand,Alan Hutton,Kieran Richardson,David Meyler,Steed Malbranque,Fraizer Campbell,Kenwyne Jones,Darren Bent,Trevor Carson,Paulo da Silva,Boudewijn Zenden,Shay Given,Joleon Lescott,Vincent Kompany,Wayne Bridge,Nigel de Jong,Gareth Barry,Pablo Zabaleta,Craig Bellamy,Carlos Tevez,Shaun Wright-Phillips,Kolo Toure,Stephen Ireland,Roque Santa Cruz
Liverpool,Portsmouth,2009-2010 Barclays Premier League,4,1,Pepe Reina,Daniel Agger,Jamie Carragher,Emiliano Insua,Glen Johnson,Javier Mascherano,Alberto Aquilani,Ryan Babel,Maxi Rodriguez,Fernando Torres,Steven Gerrard,Diego Cavalieri,Lucas Leiva,Martin Kelly,Jamie Ashdown,Marc Wilson,Ricardo Rocha,Hermann Hreidarsson,Michael Brown,Papa Bouba Diop,Jamie O'Hara,Nadir Belhadj,Aruna Dindane,Frederic Piquionne,Nwankwo Kanu,Liam O'Brien,Quincy Owusu-Abeyie
Wigan Athletic,Aston Villa,2009-2010 Barclays Premier League,1,2,Chris Kirkland,Titus Bramble,Gary Caldwell,Maynor Figueroa,Emmerson Boyce,Mohamed Diame,Hendry Thomas,Marcelo Moreno,James McCarthy,Hugo Rodallega,Charles N'Zogbia,Vladimir Stojkovic,Jordi Gomez,Jason Scotland,Brad Friedel,Richard Dunne,James Collins,Stephen Warnock,Stiliyan Petrov,James Milner,Ashley Young,Stewart Downing,John Carew,Gabriel Agbonlahor,Brad Guzan,Fabian Delph,Nathan Delfouneso
Aston Villa,Wolverhampton Wanderers,2009-2010 Barclays Premier League,2,2,Brad Friedel,Richard Dunne,James Collins,Stephen Warnock,Carlos Jimenez Cuellar,Stiliyan Petrov,James Milner,Stewart Downing,Ashley Young,Emile Heskey,John Carew,Brad Guzan,Nathan Delfouneso,Ciaran Clark,Marcus Hahnemann,Christophe Berra,Jody Craddock,Stephen Ward,David Jones,Adlene Guedioura,Karl Henry,Matthew Jarvis,Kevin Foley,Kevin Doyle,Wayne Hennessey,Nenad Milijas,Michael Mancienne
Everton,Bolton Wanderers,2009-2010 Barclays Premier League,2,0,Tim Howard,Sylvain Distin,Phil Jagielka,Leighton Baines,Phil Neville,John Heitinga,Mikel Arteta,Yakubu Aiyegbeni,Tim Cahill,Steven Pienaar,Victor Anichebe,Joseph Yobo,Jack Rodwell,Leon Osman,Jussi Jaaskelainen,Andrew O'Brien,Zat Knight,Paul Robinson,Tamir Cohen,Fabrice Muamba,Jack Wilshere,Lee Chung-Yong,Johan Elmander,Kevin Davies,Gary Cahill,Vladimir Weiss,Mark Davies
Portsmouth,Hull City,2009-2010 Barclays Premier League,3,2,David James,Hermann Hreidarsson,Ricardo Rocha,Nadir Belhadj,Hayden Mullins,Aaron Mokoena,Marc Wilson,Jamie O'Hara,Quincy Owusu-Abeyie,Tommy Smith,Frederic Piquionne,Jamie Ashdown,Steve Finnan,Angelos Basinas,Boaz Myhill,Steven Mouyokolo,Paul McShane,Andy Dawson,Jimmy Bullard,Dean Marney,Kevin Kilbane,Craig Fagan,Jan Vennegoor of Hesselink,Caleb Folan,Marcio Geovanni,Liam Cooper,Tom Cairney
Stoke City,Tottenham Hotspur,2009-2010 Barclays Premier League,1,2,Thomas Sorensen,Danny Higginbotham,Abdoulaye Faye,Danny Collins,Robert Huth,Glenn Whelan,Dean Whitehead,Matthew Etherington,Rory Delap,Dave Kitson,Ricardo Fuller,Danny Pugh,Asmir Begovic,Louis Moult,Heurelho Gomes,Sebastien Bassong,Michael Dawson,Younes Kaboul,Vedran Corluka,Luka Modric,Gareth Bale,Niko Kranjcar,Roman Pavlyuchenko,Peter Crouch,Wilson Palacios,Dean Parrett,Andros Townsend
Sunderland,Birmingham City,2009-2010 Barclays Premier League,3,1,Craig Gordon,John Mensah,Michael Turner,Anton Ferdinand,Alan Hutton,Kieran Richardson,David Meyler,Steed Malbranque,Fraizer Campbell,Benjani Mwaruwari,Darren Bent,Trevor Carson,Paulo da Silva,Phil Bardsley,Joe Hart,Roger Johnson,Scott Dann,Liam Ridgewell,Michel,Barry Ferguson,Keith Fahey,Craig Gardner,Cameron Jerome,Cristian Roman Benitez,Sebastian Larsson,Gregory Vignal,Lee Bowyer
Wigan Athletic,Burnley,2009-2010 Barclays Premier League,1,0,Chris Kirkland,Titus Bramble,Gary Caldwell,Maynor Figueroa,Mario Melchiot,Mohamed Diame,Hendry Thomas,Marcelo Moreno,Paul Scharner,Hugo Rodallega,James McCarthy,Vladimir Stojkovic,Steve Gohouri,Jordi Gomez,Brian Jensen,Leon Cort,Mike Duff,Stephen Jordan,Kevin McDonald,Graham Alexander,Wade Elliott,David Nugent,Martin Paterson,Steven Fletcher,Jack Cork,David Edgar,Andre Bikey
Arsenal,West Ham United,2009-2010 Barclays Premier League,2,0,Manuel Almunia,Thomas Vermaelen,Sol Campbell,Gael Clichy,Emmanuel Eboue,Denilson,Alex Song,Nicklas Bendtner,Cesc Fabregas,Andrey Arshavin,Samir Nasri,Theo Walcott,Lukasz Fabianski,Abou Diaby,Robert Green,Matthew Upson,James Tomkins,Fabio Daprela,Radoslav Kovac,Valon Behrami,Junior Stanislas,Alessandro Diamanti,Guillermo Franco,Hossam Mido,Marek Stech,Jordan Spence,Mark Noble
Manchester United,Liverpool,2009-2010 Barclays Premier League,2,1,Edwin van der Sar,Nemanja Vidic,Rio Ferdinand,Patrice Evra,Gary Neville,Darren Fletcher,Michael Carrick,Park Ji-Sung,Nani,Antonio Valencia,Wayne Rooney,Rafael,Jonny Evans,Gabriel Obertan,Pepe Reina,Daniel Agger,Jamie Carragher,Emiliano Insua,Javier Mascherano,Lucas Leiva,Maxi Rodriguez,Dirk Kuyt,Fernando Torres,Steven Gerrard,David Ngog,Martin Kelly,Yossi Benayoun
Fulham,Manchester City,2009-2010 Barclays Premier League,1,2,Mark Schwarzer,Chris Smalling,Aaron Hughes,Paul Konchesky,Chris Baird,Dickson Etuhu,Danny Murphy,Zoltan Gera,Simon Davies,Damien Duff,Bobby Zamora,Pascal Zuberbuhler,Stephen Kelly,Bjorn Riise,Shay Given,Vincent Kompany,Kolo Toure,Joleon Lescott,Pablo Zabaleta,Gareth Barry,Patrick Vieira,Roque Santa Cruz,Carlos Tevez,Craig Bellamy,Javier Garrido,Stephen Ireland,Micah Richards
Blackburn Rovers,Chelsea,2009-2010 Barclays Premier League,1,1,Jason Brown,Phil Jones,Christopher Samba,Martin Olsson,Michel Salgado,Keith Andrews,Steven N'Zonzi,El-Hadji Diouf,Morten Gamst Pedersen,Nikola Kalinic,David Dunn,Lars Jacobsen,Amine Linganzi,Junior Hoilett,Ross Turnbull,John Terry,Alex,Paulo Ferreira,John Obi Mikel,Florent Malouda,Frank Lampard,Salomon Kalou,Didier Drogba,Nicolas Anelka,Jeffrey Bruma,Jan Sebak,Yury Zhirkov
