home,away,league,home_score,away_score,home_starting_1,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,home_bench_3,home_bench_4,home_bench_5,away_starting_1,away_starting_2,away_starting_3,away_starting_4,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11,away_bench_3,away_bench_4,away_bench_5
Fulham,Everton,07-Aug,1,0,Kasey Keller,Paul Konchesky,Aaron Hughes,Paul Stalteri,Brede Hangeland,Leon Andreasen,Jimmy Bullard,Danny Murphy,Simon Davies,Brian McBride,Eddie Johnson,Moritz Volz,Carlos Bocanegra,Clint Dempsey,Tim Howard,Joleon Lescott,Phil Neville,Joseph Yobo,Lee Carsley,Leon Osman,Mikel Arteta,Steven Pienaar,Andrew Johnson,Yakubu Aiyegbeni,Jack Rodwell,Leighton Baines,Tony Hibbert
Wigan Athletic,Bolton Wanderers,07-Aug,1,0,Chris Kirkland,Emmerson Boyce,Mario Melchiot,Erik Edman,Paul Scharner,Michael Brown,Jason Koumas,Antonio Valencia,Wilson Palacios,Marlon King,Emile Heskey,Antoine Sibierski,Ryan Taylor,Kevin Kilbane,Ali Al Habsi,Andrew O'Brien,Gretar Rafn Steinsson,Gary Cahill,Ricardo Gardner,Kevin Nolan,Ivan Campo,Tamir Cohen,Kevin Davies,El-Hadji Diouf,Gavin McCann,Grzegorz Rasiak,Joey O'Brien
Manchester City,Tottenham Hotspur,07-Aug,2,1,Joe Hart,Richard Dunne,Javier Garrido,Nedum Onuoha,Vedran Corluka,Stephen Ireland,Elano,Michael Johnson,Gelson Fernandes,Benjani Mwaruwari,Nery Castillo,Felipe Caicedo,Sun Jihai,Darius Vassell,Paul Robinson,Jonathan Woodgate,Michael Dawson,Pascal Chimbonda,Jermaine Jenas,Steed Malbranque,Didier Zokora,Aaron Lennon,Robbie Keane,Dimitar Berbatov,Jamie O'Hara,Tom Huddlestone,Darren Bent
Birmingham City,Newcastle United,07-Aug,1,1,Maik Taylor,Liam Ridgewell,Radhi Jaidi,Stephen Kelly,David Murphy,Damien Johnson,Gary McSheffrey,Sebastian Larsson,Fabrice Muamba,James McFadden,Mikael Forssell,Stuart Parnaby,Mauro Zarate,Cameron Jerome,Steve Harper,Steven Taylor,Habib Beye,Abdoulaye Faye,Nicky Butt,Geremi,Joey Barton,Mark Viduka,Michael Owen,Obafemi Martins,Alan Smith,Andy Carroll,Charles N'Zogbia
Manchester United,Bolton Wanderers,07-Aug,2,0,Tomasz Kuszczak,John O'Shea,Nemanja Vidic,Gerard Pique,Darren Fletcher,Owen Hargreaves,Cristiano Ronaldo,Nani,Anderson,Louis Saha,Carlos Tevez,Wes Brown,Paul Scholes,Wayne Rooney,Ali Al Habsi,Andrew O'Brien,Abdoulaye Meite,Gretar Rafn Steinsson,Matthew Taylor,Ricardo Gardner,Gavin McCann,Danny Guthrie,Kevin Davies,El-Hadji Diouf,Grzegorz Rasiak,Nicky Hunt,Stelios Giannakopoulos
Tottenham Hotspur,Chelsea,07-Aug,4,4,Paul Robinson,Jonathan Woodgate,Ledley King,Pascal Chimbonda,Alan Hutton,Jermaine Jenas,Steed Malbranque,Didier Zokora,Aaron Lennon,Robbie Keane,Dimitar Berbatov,Teemu Tainio,Darren Bent,Tom Huddlestone,Carlo Cudicini,Ashley Cole,John Terry,Ricardo Carvalho,Joe Cole,Frank Lampard,Michael Essien,Claude Makelele,Didier Drogba,Salomon Kalou,Andriy Shevchenko,Michael Ballack,Alex
Tottenham Hotspur,Portsmouth,07-Aug,2,0,Paul Robinson,Jonathan Woodgate,Michael Dawson,Pascal Chimbonda,Alan Hutton,Steed Malbranque,Didier Zokora,Tom Huddlestone,Aaron Lennon,Robbie Keane,Dimitar Berbatov,Darren Bent,Jamie O'Hara,Teemu Tainio,David James,Hermann Hreidarsson,Sylvain Distin,Glen Johnson,Richard Hughes,Sean Davis,John Utaka,Niko Kranjcar,Pedro Mendes,Nwankwo Kanu,David Nugent,Arnold Mvuemba,Milan Baros
Aston Villa,Sunderland,07-Aug,0,1,Scott Carson,Zat Knight,Martin Laursen,Wilfred Bouma,Shaun Maloney,Gareth Barry,Nigel Reo-Coker,Craig Gardner,John Carew,Ashley Young,Gabriel Agbonlahor,Moustapha Salifou,Isaiah Osbourne,Marlon Harewood,Craig Gordon,Nyron Nosworthy,Danny Collins,Phil Bardsley,Andy Reid,Carlos Edwards,Dean Whitehead,Kieran Richardson,Roy O'Donovan,Daryl Murphy,Grant Leadbitter,Michael Chopra,Dwight Yorke
Blackburn Rovers,Wigan Athletic,07-Aug,3,1,Brad Friedel,Zurab Khizanishvili,Andre Ooijer,Stephen Warnock,Christopher Samba,Steven Reid,David Dunn,Morten Gamst Pedersen,David Bentley,Jason Roberts,Roque Santa Cruz,Aaron Mokoena,Tugay Kerimoglu,Benedict McCarthy,Chris Kirkland,Emmerson Boyce,Mario Melchiot,Erik Edman,Michael Brown,Kevin Kilbane,Antonio Valencia,Wilson Palacios,Marlon King,Emile Heskey,Julius Aghahowa,Ryan Taylor,Marcus Bent
Bolton Wanderers,Manchester City,07-Aug,0,0,Ali Al Habsi,Andrew O'Brien,Gretar Rafn Steinsson,Gary Cahill,Matthew Taylor,Ricardo Gardner,Kevin Nolan,Ivan Campo,Danny Guthrie,Kevin Davies,El-Hadji Diouf,Stelios Giannakopoulos,Joey O'Brien,Gavin McCann,Joe Hart,Richard Dunne,Javier Garrido,Nedum Onuoha,Martin Petrov,Stephen Ireland,Michael Johnson,Gelson Fernandes,Darius Vassell,Benjani Mwaruwari,Nery Castillo,Elano,Felipe Caicedo
Middlesbrough,Derby County,07-Aug,1,0,Mark Schwarzer,Luke Young,Emanuel Pogatetz,Andrew Taylor,David Wheater,Gary O'Neil,George Boateng,Stewart Downing,Lee Cattermole,Jeremie Aliadiere,Tuncay Sanli,Mohamed Shawky,Afonso Alves,Adam Johnson,Roy Carroll,Darren Moore,Andy Todd,Dean Leacock,Robbie Savage,Mile Sterjovski,Eddie Lewis,David Jones,Robert Earnshaw,Kenny Miller,Hossam Ghaly,Emanuel Villa,Stephen Pearson
Newcastle United,Fulham,07-Aug,2,0,Steve Harper,Steven Taylor,Habib Beye,Jose Enrique,Nicky Butt,Geremi,Abdoulaye Faye,Joey Barton,Mark Viduka,Michael Owen,Obafemi Martins,David Edgar,Alan Smith,Charles N'Zogbia,Kasey Keller,Paul Konchesky,Aaron Hughes,Paul Stalteri,Leon Andreasen,Jimmy Bullard,Danny Murphy,Simon Davies,Brian McBride,Eddie Johnson,David Healy,Moritz Volz,Clint Dempsey
Reading,Birmingham City,07-Aug,2,1,Marcus Hahnemann,Nicky Shorey,Ivar Ingimarsson,Andre Bikey,Liam Rosenior,James Harper,John Oster,Marek Matejovsky,Stephen Hunt,Dave Kitson,Kevin Doyle,Jimmy Kebe,Shane Long,Kalifa Cisse,Maik Taylor,Liam Ridgewell,Radhi Jaidi,Stephen Kelly,Gary McSheffrey,Mehdi Nafti,Sebastian Larsson,Fabrice Muamba,Mikael Forssell,Mauro Zarate,Damien Johnson,Garry O'Connor,Cameron Jerome
Everton,West Ham United,07-Aug,1,1,Tim Howard,Joleon Lescott,Phil Neville,Leighton Baines,Phil Jagielka,Tim Cahill,Lee Carsley,Leon Osman,Mikel Arteta,Yakubu Aiyegbeni,Victor Anichebe,Nuno Valente,Thomas Gravesen,Manuel Fernandes,Robert Green,Lucas Neill,George McCartney,Anton Ferdinand,Hayden Mullins,Scott Parker,Freddie Ljungberg,Mark Noble,Dean Ashton,Luis Boa Morte,Jonathan Spector,Nolberto Solano,Freddie Sears
Manchester United,Liverpool,07-Aug,3,0,Edwin van der Sar,Rio Ferdinand,Wes Brown,Patrice Evra,Nemanja Vidic,Michael Carrick,Ryan Giggs,Paul Scholes,Cristiano Ronaldo,Anderson,Wayne Rooney,Owen Hargreaves,Nani,Carlos Tevez,Pepe Reina,Jamie Carragher,Fabio Aurelio,Alvaro Arbeloa,Steven Gerrard,Xabi Alonso,Javier Mascherano,Dirk Kuyt,Fernando Torres,Ryan Babel,Peter Crouch,John Arne Riise,Yossi Benayoun
Chelsea,Arsenal,07-Aug,2,1,Carlo Cudicini,Ashley Cole,John Terry,Ricardo Carvalho,Joe Cole,Frank Lampard,Michael Essien,Claude Makelele,Michael Ballack,Didier Drogba,Salomon Kalou,John Obi Mikel,Nicolas Anelka,Juliano Belletti,Manuel Almunia,William Gallas,Kolo Toure,Emmanuel Eboue,Bacary Sagna,Alexsandr Hleb,Cesc Fabregas,Mathieu Flamini,Emmanuel Adebayor,Robin van Persie,Abou Diaby,Nicklas Bendtner,Theo Walcott
Birmingham City,Manchester City,07-Aug,3,1,Maik Taylor,Franck Queudrue,Radhi Jaidi,Stephen Kelly,David Murphy,Damien Johnson,Gary McSheffrey,Sebastian Larsson,Fabrice Muamba,Mikael Forssell,Mauro Zarate,Cameron Jerome,Stuart Parnaby,Garry O'Connor,Joe Hart,Richard Dunne,Sun Jihai,Javier Garrido,Dietmar Hamann,Stephen Ireland,Elano,Gelson Fernandes,Darius Vassell,Benjani Mwaruwari,Deiberson Mauricio Geovanni,Felipe Caicedo,Emile Mpenza
Bolton Wanderers,Arsenal,07-Aug,2,3,Ali Al Habsi,Jlloyd Samuel,Andrew O'Brien,Gretar Rafn Steinsson,Gary Cahill,Matthew Taylor,Gavin McCann,Ivan Campo,Danny Guthrie,Kevin Davies,El-Hadji Diouf,Nicky Hunt,Grzegorz Rasiak,Stelios Giannakopoulos,Manuel Almunia,William Gallas,Philippe Senderos,Kolo Toure,Alexsandr Hleb,Cesc Fabregas,Mathieu Flamini,Abou Diaby,Robin van Persie,Nicklas Bendtner,Theo Walcott,Justin Hoyte,Emmanuel Adebayor
Derby County,Fulham,07-Aug,2,2,Roy Carroll,Darren Moore,Andy Todd,Dean Leacock,Robbie Savage,Mile Sterjovski,Eddie Lewis,Hossam Ghaly,David Jones,Kenny Miller,Emanuel Villa,Benny Feilhaber,Tyrone Mears,Robert Earnshaw,Kasey Keller,Paul Konchesky,Aaron Hughes,Paul Stalteri,Leon Andreasen,Jimmy Bullard,Simon Davies,Brian McBride,Diomansy Kamara,Hameur Bouazza,Clint Dempsey,Danny Murphy,Eddie Johnson
