home,away,league,home_score,away_score,home_goalkeeper,away_goalkeeper,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,away_starting_2,away_starting_3,away_starting_4,away_starting_5,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11
West Brom,Watford,2015-2016 Barclays Premier League,0,1,Ben Foster,Heurelho Gomes,Jonny Evans,Gareth McAuley,James Chester,Craig Dawson,Claudio Yacob,Darren Fletcher,James McClean,Stephane Sessegnon,Saido Berahino,Salomon Rondon,Miguel Britos,Sebastian Prodl,Nathan Ake,Allan Nyom,Ben Watson,Etienne Capoue,Jose Manuel Jurado,Adlene Guedioura,Troy Deeney,Odion Ighalo
Chelsea,Manchester City,2015-2016 Barclays Premier League,0,3,Thibaut Courtois,Joe Hart,Branislav Ivanovic,Gary Cahill,Baba Rahman,Cesar Azpilicueta,Ruben Loftus-Cheek,Cesc Fabregas,John Obi Mikel,Diego Costa,Pedro,Willian,Eliaquim Mangala,Nicolas Otamendi,Aleksandar Kolarov,Pablo Zabaleta,Kevin De Bruyne,Yaya Toure,Fernandinho,Sergio Aguero,Samir Nasri,Jesus Navas
Leicester City,West Ham,2015-2016 Barclays Premier League,2,2,Kasper Schmeichel,Adrian,Robert Huth,Wes Morgan,Christian Fuchs,Danny Simpson,N'Golo Kante,Danny Drinkwater,Marc Albrighton,Riyad Mahrez,Jamie Vardy,Shinji Okazaki,Angelo Ogbonna,Winston Reid,Aaron Cresswell,Michail Antonio,Pedro Obiang,Mark Noble,Cheikhou Kouyate,Emmanuel Emenike,Dimitri Payet,Victor Moses
Bournemouth,Liverpool,2015-2016 Barclays Premier League,1,2,Artur Boruc,Danny Ward,Steve Cook,Tommy Elphick,Andrew Surman,Charlie Daniels,Simon Francis,Junior Stanislas,Dan Gosling,Max Gradel,Matt Ritchie,Joshua King,Lucas Leiva,Kolo Toure,Brad Smith,Connor Randall,Joe Allen,Kevin Stewart,Jordon Ibe,Sheyi Ojo,Daniel Sturridge,Roberto Firmino
Arsenal,Crystal Palace,2015-2016 Barclays Premier League,1,1,Petr Cech,Wayne Hennessey,Laurent Koscielny,Gabriel,Nacho Monreal,Hector Bellerin,Mesut Ozil,Francis Coquelin,Mohamed Elneny,Danny Welbeck,Alex Iwobi,Alexis Sanchez,Damien Delaney,Scott Dann,Pape Souare,Joel Ward,Mile Jedinak,Yohan Cabaye,Joe Ledley,Jason Puncheon,Yannick Bolasie,Connor Wickham
Stoke City,Tottenham,2015-2016 Barclays Premier League,0,4,Shay Given,Hugo Lloris,Philipp Wollscheid,Ryan Shawcross,Marc Muniesa,Geoff Cameron,Ibrahim Afellay,Giannelli Imbula,Glenn Whelan,Bojan Krkic,Marko Arnautovic,Xherdan Shaqiri,Jan Vertonghen,Toby Alderweireld,Danny Rose,Kyle Walker,Dele Alli,Mousa Dembele,Eric Dier,Harry Kane,Christian Eriksen,Erik Lamela
Newcastle Utd,Manchester City,2015-2016 Barclays Premier League,1,1,Karl Darlow,Joe Hart,Jamaal Lascelles,Chancel Mbemba,Paul Dummett,Vurnon Anita,Moussa Sissoko,Jack Colback,Cheick Tiote,Papiss Cisse,Ayoze Perez,Andros Townsend,Eliaquim Mangala,Vincent Kompany,Aleksandar Kolarov,Pablo Zabaleta,Kevin De Bruyne,Fernando,Yaya Toure,Sergio Aguero,Fabian Delph,Jesus Navas
Liverpool,Everton,2015-2016 Barclays Premier League,4,0,Simon Mignolet,Joel Robles,Mamadou Sakho,Dejan Lovren,Alberto Moreno,Nathaniel Clyne,Roberto Firmino,Lucas Leiva,James Milner,Divock Origi,Philippe Coutinho,Adam Lallana,Ramiro Funes Mori,John Stones,Leighton Baines,Bryan Oviedo,Ross Barkley,Gareth Barry,James McCarthy,Romelu Lukaku,Aaron Lennon,Kevin Mirallas
Manchester Utd,Crystal Palace,2015-2016 Barclays Premier League,2,0,David de Gea,Julian Speroni,Daley Blind,Chris Smalling,Morgan Schneiderlin,Matteo Darmian,Antonio Valencia,Wayne Rooney,Juan Mata,Anthony Martial,Jesse Lingard,Marcus Rashford,Damien Delaney,Adrian Mariappa,Pape Souare,Martin Kelly,Lee Chung-Yong,Mile Jedinak,Yohan Cabaye,Emmanuel Adebayor,Bakary Sako,Wilfried Zaha
West Ham,Watford,2015-2016 Barclays Premier League,3,1,Adrian,Heurelho Gomes,Angelo Ogbonna,Winston Reid,Aaron Cresswell,Michail Antonio,Cheikhou Kouyate,Manuel Lanzini,Mark Noble,Andy Carroll,Dimitri Payet,Diafra Sakho,Craig Cathcart,Sebastian Prodl,Jose Holebas,Juan Carlos Paredes,Mario Suarez,Valon Behrami,Almen Abdi,Adlene Guedioura,Nordin Amrabat,Jose Manuel Jurado
Arsenal,West Brom,2015-2016 Barclays Premier League,2,0,Petr Cech,Ben Foster,Laurent Koscielny,Per Mertesacker,Nacho Monreal,Hector Bellerin,Mesut Ozil,Aaron Ramsey,Mohamed Elneny,Olivier Giroud,Alex Iwobi,Alexis Sanchez,Jonny Evans,Gareth McAuley,Claudio Yacob,James Chester,Craig Dawson,Sandro,Darren Fletcher,James McClean,Stephane Sessegnon,Saido Berahino
Manchester City,Stoke City,2015-2016 Barclays Premier League,4,0,Joe Hart,Shay Given,Eliaquim Mangala,Nicolas Otamendi,Aleksandar Kolarov,Pablo Zabaleta,Yaya Toure,Fernando,David Silva,Jesus Navas,Sergio Aguero,Kelechi Iheanacho,Philipp Wollscheid,Ryan Shawcross,Marc Muniesa,Phil Bardsley,Giannelli Imbula,Glenn Whelan,Geoff Cameron,Joselu,Marko Arnautovic,Mame Biram Diouf
