home,away,league,home_score,away_score,home_goalkeeper,away_goalkeeper,home_starting_2,home_starting_3,home_starting_4,home_starting_5,home_starting_6,home_starting_7,home_starting_8,home_starting_9,home_starting_10,home_starting_11,away_starting_2,away_starting_3,away_starting_4,away_starting_5,away_starting_6,away_starting_7,away_starting_8,away_starting_9,away_starting_10,away_starting_11
Tottenham,Blackburn,2004-2005 Barclays Premier League,0,0,Radek Cerny,Brad Friedel,Ledley King,Erik Edman,Noureddine Naybet,Stephen Kelly,Andy Reid,Michael Carrick,Simon Davies,Sean Davis,Robbie Keane,Frederic Kanoute,Lucas Neill,Andy Todd,Aaron Mokoena,James McEveley,Ryan Nelsen,David Thompson,Robbie Savage,Morten Gamst Pedersen,Brett Emerton,Jonathan Stead
West Brom,Portsmouth,2004-2005 Barclays Premier League,2,0,Tomasz Kuszczak,Jamie Ashdown,Paul Robinson,Neil Clement,Ronnie Wallwork,Thomas Gaardsoe,Martin Albrechtsen,Jonathan Greening,Kieran Richardson,Zoltan Gera,Robert Earnshaw,Kevin Campbell,Linvoy Primus,Arjan De Zeeuw,Matthew Taylor,Aliou Cisse,Dejan Stefanovic,Gary O'Neil,Richard Hughes,Ricardo Fuller,Diomansy Kamara,James Keene
Everton,Manchester Utd,2005-2006 Barclays Premier League,0,2,Nigel Martyn,Edwin van der Sar,Alessandro Pistone,Tony Hibbert,David Weir,Phil Neville,Joseph Yobo,Tim Cahill,Leon Osman,Simon Davies,Mikel Arteta,James Beattie,John O'Shea,Rio Ferdinand,Gary Neville,Mikael Silvestre,Roy Keane,Paul Scholes,Darren Fletcher,Ruud van Nistelrooy,Wayne Rooney,Park Ji-Sung
Aston Villa,Bolton,2005-2006 Barclays Premier League,2,2,Thomas Sorensen,Jussi Jaaskelainen,Gareth Barry,Jlloyd Samuel,Aaron Hughes,Martin Laursen,Olof Mellberg,Gavin McCann,Nolberto Solano,Steven Davis,Kevin Phillips,Juan Pablo Angel,Nicky Hunt,Ivan Campo,Tal Ben Haim,Radhi Jaidi,Ricardo Gardner,Kevin Nolan,Gary Speed,Kevin Davies,Henrik Pedersen,El-Hadji Diouf
Fulham,Birmingham City,2005-2006 Barclays Premier League,0,0,Tony Warner,Maik Taylor,Moritz Volz,Zat Knight,Niclas Jensen,Zesh Rehman,Claus Jensen,Steed Malbranque,Sylvain Legwinski,Tomasz Radzinski,Luis Boa Morte,Brian McBride,Kenny Cunningham,Matthew Upson,Jamie Clapham,Mario Melchiot,Julian Gray,Jermaine Pennant,Stephen Clemence,Nicky Butt,Emile Heskey,Walter Pandiani
Manchester City,West Brom,2005-2006 Barclays Premier League,0,0,David James,Chris Kirkland,Danny Mills,Ben Thatcher,David Sommeil,Stephen Jordan,Claudio Reyna,Trevor Sinclair,Kizito Musampa,Joey Barton,Darius Vassell,Andrew Cole,Paul Robinson,Neil Clement,Ronnie Wallwork,Thomas Gaardsoe,Martin Albrechtsen,Jonathan Greening,Junichi Inamoto,Kevin Campbell,Nwankwo Kanu,Zoltan Gera
Portsmouth,Tottenham,2005-2006 Barclays Premier League,0,2,Sander Westerveld,Paul Robinson,Gregory Vignal,Andy Griffin,Andrew O'Brien,Dejan Stefanovic,Richard Hughes,Laurent Robert,Jhon Viafara,Azar Karadas,Lomana Tresor LuaLua,Ivica Mornar,Anthony Gardner,Paul Stalteri,Erik Edman,Michael Dawson,Andy Reid,Michael Carrick,Teemu Tainio,Wayne Routledge,Jermain Defoe,Hossam Mido
Sunderland,Charlton Ath,2005-2006 Barclays Premier League,1,3,Kelvin Davis,Stephan Andersen,Steven Caldwell,Gary Breen,Stephen Wright,Carl Robinson,Dean Whitehead,Julio Arca,Tommy Miller,Andy Gray,Andrew Welsh,Jonathan Stead,Luke Young,Chris Powell,Hermann Hreidarsson,Chris Perry,Radostin Kishishev,Danny Murphy,Darren Ambrose,Alexey Smertin,Darren Bent,Dennis Rommedahl
West Ham,Blackburn,2005-2006 Barclays Premier League,3,1,Roy Carroll,Brad Friedel,Hayden Mullins,Daniel Gabbidon,Paul Konchesky,Christian Dailly,Nigel Reo-Coker,Anton Ferdinand,Matthew Etherington,Yossi Benayoun,Marlon Harewood,Teddy Sheringham,Lucas Neill,Andy Todd,Dominic Matteo,Aaron Mokoena,Steven Reid,Robbie Savage,Morten Gamst Pedersen,Brett Emerton,Shefki Kuqi,Craig Bellamy
Middlesbrough,Liverpool,2005-2006 Barclays Premier League,0,0,Mark Schwarzer,Pepe Reina,Michael Reiziger,Ugo Ehiogu,Gareth Southgate,Franck Queudrue,Ray Parlour,George Boateng,Gaizka Mendieta,Stewart Downing,Jimmy Floyd Hasselbaink,Yakubu Aiyegbeni,Jamie Carragher,Sami Hyypia,Steve Finnan,Stephen Warnock,Steven Gerrard,Boudewijn Zenden,Xabi Alonso,Luis Garcia,Mohamed Sissoko,Fernando Sanchez Morientes
Arsenal,Newcastle Utd,2005-2006 Barclays Premier League,2,0,Jens Lehmann,Shay Given,Lauren,Ashley Cole,Philippe Senderos,Kolo Toure,Robert Pires,Freddie Ljungberg,Gilberto Silva,Cesc Fabregas,Dennis Bergkamp,Thierry Henry,Celestine Babayaro,Jean Alain Boumsong,Stephen Carr,Jermaine Jenas,Scott Parker,Lee Bowyer,Kieron Courtney Dyer,Steven Taylor,Emre Belozoglu,Alan Shearer
Wigan Athletic,Chelsea,2005-2006 Barclays Premier League,0,1,Michael Pollitt,Petr Cech,Arjan De Zeeuw,Stephane Henchoz,Leighton Baines,Pascal Chimbonda,Damien Francis,Jimmy Bullard,Alan Mahon,Jason Roberts,Gary Teale,Henri Camara,William Gallas,John Terry,Asier Del Horno,Paulo Ferreira,Damien Duff,Frank Lampard,Claude Makelele,Eidur Gudjohnsen,Arjen Robben,Didier Drogba
Manchester Utd,Aston Villa,2005-2006 Barclays Premier League,1,0,Edwin van der Sar,Thomas Sorensen,John O'Shea,Rio Ferdinand,Gary Neville,Mikael Silvestre,Roy Keane,Paul Scholes,Darren Fletcher,Ruud van Nistelrooy,Wayne Rooney,Park Ji-Sung,Liam Ridgewell,Gareth Barry,Jlloyd Samuel,Aaron Hughes,Olof Mellberg,Ulises De la Cruz,Gavin McCann,Peter Whittingham,Steven Davis,Juan Pablo Angel
Blackburn,Fulham,2005-2006 Barclays Premier League,2,1,Brad Friedel,Tony Warner,Lucas Neill,Andy Todd,Dominic Matteo,Ryan Nelsen,Steven Reid,Tugay Kerimoglu,Robbie Savage,Morten Gamst Pedersen,Brett Emerton,Shefki Kuqi,Moritz Volz,Zat Knight,Niclas Jensen,Zesh Rehman,Papa Bouba Diop,Claus Jensen,Steed Malbranque,Tomasz Radzinski,Luis Boa Morte,Brian McBride
Charlton Ath,Wigan Athletic,2005-2006 Barclays Premier League,1,0,Stephan Andersen,Michael Pollitt,Luke Young,Chris Powell,Hermann Hreidarsson,Chris Perry,Radostin Kishishev,Danny Murphy,Alexey Smertin,Darren Bent,Jerome Thomas,Dennis Rommedahl,Arjan De Zeeuw,Stephane Henchoz,Leighton Baines,Pascal Chimbonda,Damien Francis,Jimmy Bullard,Alan Mahon,Andreas Johansson,Jason Roberts,Gary Teale
Liverpool,Sunderland,2005-2006 Barclays Premier League,1,0,Pepe Reina,Kelvin Davis,Jamie Carragher,Sami Hyypia,Steve Finnan,Steven Gerrard,Boudewijn Zenden,Xabi Alonso,Stephen Warnock,Mohamed Sissoko,Djibril Cisse,Fernando Sanchez Morientes,Nyron Nosworthy,Gary Breen,Alan Stubbs,Andy Gray,Carl Robinson,Liam Lawrence,Dean Whitehead,Julio Arca,Tommy Miller,Andrew Welsh
Newcastle Utd,West Ham,2005-2006 Barclays Premier League,0,0,Shay Given,Roy Carroll,Celestine Babayaro,Jean Alain Boumsong,Stephen Carr,Jermaine Jenas,Scott Parker,Lee Bowyer,Steven Taylor,James Milner,Charles N'Zogbia,Alan Shearer,Hayden Mullins,Daniel Gabbidon,Paul Konchesky,Tomas Repka,Anton Ferdinand,Matthew Etherington,Yossi Benayoun,Nigel Reo-Coker,Marlon Harewood,Teddy Sheringham
Tottenham,Middlesbrough,2005-2006 Barclays Premier League,2,0,Paul Robinson,Mark Schwarzer,Anthony Gardner,Paul Stalteri,Erik Edman,Michael Dawson,Andy Reid,Michael Carrick,Teemu Tainio,Edgar Davids,Jermain Defoe,Hossam Mido,Michael Reiziger,Gareth Southgate,Franck Queudrue,Matthew Bates,Ray Parlour,George Boateng,Gaizka Mendieta,Stewart Downing,Jimmy Floyd Hasselbaink,Yakubu Aiyegbeni
West Brom,Portsmouth,2005-2006 Barclays Premier League,2,1,Chris Kirkland,Sander Westerveld,Paul Robinson,Neil Clement,Steve Watson,Ronnie Wallwork,Thomas Gaardsoe,Andy Johnson,Jonathan Greening,Zoltan Gera,Geoff Horsfield,Kevin Campbell,Gregory Vignal,Andy Griffin,Andrew O'Brien,Dejan Stefanovic,Gary O'Neil,Richard Hughes,Laurent Robert,Jhon Viafara,Azar Karadas,Lomana Tresor LuaLua
Birmingham City,Manchester City,2005-2006 Barclays Premier League,1,2,Maik Taylor,David James,Kenny Cunningham,Matthew Upson,Jamie Clapham,Mario Melchiot,Julian Gray,Jermaine Pennant,Stephen Clemence,Nicky Butt,Mikael Forssell,Walter Pandiani,Stephen Jordan,Danny Mills,Ben Thatcher,Richard Dunne,Claudio Reyna,Trevor Sinclair,Kizito Musampa,Joey Barton,Darius Vassell,Andrew Cole
Bolton,Everton,2005-2006 Barclays Premier League,0,1,Jussi Jaaskelainen,Nigel Martyn,Nicky Hunt,Tal Ben Haim,Radhi Jaidi,Ricardo Gardner,Kevin Nolan,Gary Speed,Jay-Jay Okocha,Kevin Davies,Henrik Pedersen,El-Hadji Diouf,Alessandro Pistone,Tony Hibbert,David Weir,Phil Neville,Joseph Yobo,Tim Cahill,Kevin Kilbane,Mikel Arteta,Duncan Ferguson,Marcus Bent
Chelsea,Arsenal,2005-2006 Barclays Premier League,1,0,Petr Cech,Jens Lehmann,William Gallas,John Terry,Asier Del Horno,Paulo Ferreira,Damien Duff,Frank Lampard,Claude Makelele,Eidur Gudjohnsen,Hernan Crespo,Arjen Robben,Lauren,Ashley Cole,Philippe Senderos,Kolo Toure,Robert Pires,Freddie Ljungberg,Gilberto Silva,Alexsandr Hleb,Cesc Fabregas,Thierry Henry
Birmingham City,Middlesbrough,2005-2006 Barclays Premier League,0,3,Maik Taylor,Mark Schwarzer,Olivier Tebily,Kenny Cunningham,Matthew Upson,Mario Melchiot,Stan Lazaridis,Jermaine Pennant,Stephen Clemence,Nicky Butt,Jiri Jarosik,Walter Pandiani,Michael Reiziger,Ugo Ehiogu,Gareth Southgate,Franck Queudrue,Ray Parlour,George Boateng,Stewart Downing,James Morrison,Mark Viduka,Jimmy Floyd Hasselbaink
Portsmouth,Aston Villa,2005-2006 Barclays Premier League,1,1,Sander Westerveld,Thomas Sorensen,Gregory Vignal,Andrew O'Brien,Dejan Stefanovic,Brian Priske,Gary O'Neil,Richard Hughes,Laurent Robert,Jhon Viafara,Azar Karadas,Lomana Tresor LuaLua,Liam Ridgewell,Gareth Barry,Aaron Hughes,Olof Mellberg,Gavin McCann,Nolberto Solano,Peter Whittingham,Steven Davis,Kevin Phillips,Juan Pablo Angel
Sunderland,Manchester City,2005-2006 Barclays Premier League,1,2,Kelvin Davis,David James,Nyron Nosworthy,Gary Breen,Alan Stubbs,Andy Gray,Dean Whitehead,Julio Arca,Tommy Miller,Andrew Welsh,Anthony Tallec,Stephen Elliott,Danny Mills,Ben Thatcher,Richard Dunne,Stephen Jordan,Claudio Reyna,Trevor Sinclair,Kizito Musampa,Joey Barton,Darius Vassell,Andrew Cole
Arsenal,Fulham,2005-2006 Barclays Premier League,4,1,Jens Lehmann,Tony Warner,Lauren,Ashley Cole,Pascal Cygan,Kolo Toure,Gilberto Silva,Alexsandr Hleb,Cesc Fabregas,Dennis Bergkamp,Thierry Henry,Jose Antonio Reyes,Moritz Volz,Zat Knight,Niclas Jensen,Zesh Rehman,Papa Bouba Diop,Claus Jensen,Steed Malbranque,Tomasz Radzinski,Luis Boa Morte,Brian McBride
Chelsea,West Brom,2005-2006 Barclays Premier League,4,0,Carlo Cudicini,Chris Kirkland,William Gallas,John Terry,Asier Del Horno,Glen Johnson,Shaun Wright-Phillips,Joe Cole,Frank Lampard,Michael Essien,Claude Makelele,Didier Drogba,Paul Robinson,Riccardo Scimeca,Neil Clement,Thomas Gaardsoe,Martin Albrechtsen,Andy Johnson,Jonathan Greening,Richard Chaplow,Nwankwo Kanu,Diomansy Kamara
Blackburn,Tottenham,2005-2006 Barclays Premier League,0,0,Brad Friedel,Paul Robinson,Lucas Neill,Andy Todd,Dominic Matteo,Ryan Nelsen,Steven Reid,Tugay Kerimoglu,Robbie Savage,Morten Gamst Pedersen,Brett Emerton,Shefki Kuqi,Anthony Gardner,Paul Stalteri,Erik Edman,Michael Dawson,Michael Brown,Andy Reid,Teemu Tainio,Pedro Mendes,Robbie Keane,Hossam Mido
Bolton,Newcastle Utd,2005-2006 Barclays Premier League,2,0,Jussi Jaaskelainen,Shay Given,Nicky Hunt,Tal Ben Haim,Radhi Jaidi,Kevin Nolan,Gary Speed,Jay-Jay Okocha,Stelios Giannakopoulos,Kevin Davies,Henrik Pedersen,El-Hadji Diouf,Celestine Babayaro,Jean Alain Boumsong,Stephen Carr,Jermaine Jenas,Scott Parker,Lee Bowyer,Amdy Faye,Steven Taylor,Shola Ameobi,Alan Shearer
West Brom,Birmingham City,2005-2006 Barclays Premier League,2,3,Chris Kirkland,Maik Taylor,Paul Robinson,Neil Clement,Steve Watson,Ronnie Wallwork,Thomas Gaardsoe,Jonathan Greening,Darren Carter,Geoff Horsfield,Kevin Campbell,Zoltan Gera,Kenny Cunningham,Matthew Upson,Jamie Clapham,Mario Melchiot,Damien Johnson,Jermaine Pennant,Nicky Butt,Jiri Jarosik,Emile Heskey,Mikael Forssell
Aston Villa,Blackburn,2005-2006 Barclays Premier League,1,0,Thomas Sorensen,Brad Friedel,Liam Ridgewell,Gareth Barry,Jlloyd Samuel,Aaron Hughes,Olof Mellberg,Gavin McCann,Peter Whittingham,Steven Davis,Kevin Phillips,Milan Baros,Andy Todd,Dominic Matteo,Ryan Nelsen,Steven Reid,Tugay Kerimoglu,Garry Flitcroft,Robbie Savage,Morten Gamst Pedersen,Brett Emerton,Shefki Kuqi
Fulham,Everton,2005-2006 Barclays Premier League,1,0,Tony Warner,Nigel Martyn,Moritz Volz,Zat Knight,Niclas Jensen,Carlos Bocanegra,Papa Bouba Diop,Claus Jensen,Steed Malbranque,Tomasz Radzinski,Luis Boa Morte,Brian McBride,Tony Hibbert,David Weir,Phil Neville,Joseph Yobo,Tim Cahill,Leon Osman,Kevin Kilbane,Simon Davies,Mikel Arteta,Marcus Bent
Manchester City,Portsmouth,2005-2006 Barclays Premier League,2,1,David James,Sander Westerveld,Danny Mills,Ben Thatcher,Richard Dunne,Nedum Onuoha,Claudio Reyna,Trevor Sinclair,Kizito Musampa,Joey Barton,Darius Vassell,Andrew Cole,Gregory Vignal,Andy Griffin,Andrew O'Brien,Dejan Stefanovic,Brian Priske,Gary O'Neil,Richard Hughes,Laurent Robert,Jhon Viafara,Lomana Tresor LuaLua
Tottenham,Chelsea,2005-2006 Barclays Premier League,0,2,Paul Robinson,Petr Cech,Anthony Gardner,Paul Stalteri,Michael Dawson,Stephen Kelly,Andy Reid,Michael Carrick,Teemu Tainio,Edgar Davids,Jermain Defoe,Hossam Mido,William Gallas,John Terry,Asier Del Horno,Paulo Ferreira,Damien Duff,Joe Cole,Frank Lampard,Michael Essien,Claude Makelele,Didier Drogba
West Ham,Bolton,2005-2006 Barclays Premier League,1,2,Roy Carroll,Jussi Jaaskelainen,Hayden Mullins,Daniel Gabbidon,Paul Konchesky,Tomas Repka,Anton Ferdinand,Matthew Etherington,Yossi Benayoun,Nigel Reo-Coker,Marlon Harewood,Teddy Sheringham,Nicky Hunt,Bruno N'Gotty,Tal Ben Haim,Kevin Nolan,Gary Speed,Jay-Jay Okocha,Stelios Giannakopoulos,Kevin Davies,Henrik Pedersen,El-Hadji Diouf
Wigan Athletic,Sunderland,2005-2006 Barclays Premier League,1,0,Michael Pollitt,Kelvin Davis,Arjan De Zeeuw,Stephane Henchoz,Ryan Taylor,Leighton Baines,Pascal Chimbonda,Damien Francis,Graham Kavanagh,Jimmy Bullard,Jason Roberts,Lee McCulloch,Nyron Nosworthy,Gary Breen,Alan Stubbs,Dean Whitehead,Julio Arca,Tommy Miller,Andrew Welsh,Anthony Tallec,Jonathan Stead,Stephen Elliott
Middlesbrough,Charlton Ath,2005-2006 Barclays Premier League,0,3,Mark Schwarzer,Stephan Andersen,Michael Reiziger,Ugo Ehiogu,Gareth Southgate,Franck Queudrue,Ray Parlour,George Boateng,Stewart Downing,James Morrison,Mark Viduka,Yakubu Aiyegbeni,Luke Young,Chris Powell,Hermann Hreidarsson,Chris Perry,Radostin Kishishev,Danny Murphy,Alexey Smertin,Darren Bent,Jerome Thomas,Dennis Rommedahl
Newcastle Utd,Manchester Utd,2005-2006 Barclays Premier League,0,2,Shay Given,Edwin van der Sar,Celestine Babayaro,Jean Alain Boumsong,Stephen Carr,Scott Parker,Lee Bowyer,Kieron Courtney Dyer,Steven Taylor,Emre Belozoglu,Alan Shearer,Albert Martos Luque,John O'Shea,Rio Ferdinand,Mikael Silvestre,Gabriel Heinze,Roy Keane,Paul Scholes,Darren Fletcher,Cristiano Ronaldo,Ruud van Nistelrooy,Wayne Rooney
Birmingham City,Charlton Ath,2005-2006 Barclays Premier League,0,1,Maik Taylor,Stephan Andersen,Kenny Cunningham,Matthew Upson,Jamie Clapham,Mario Melchiot,Damien Johnson,Jermaine Pennant,Nicky Butt,Jiri Jarosik,Emile Heskey,Mikael Forssell,Luke Young,Chris Powell,Hermann Hreidarsson,Chris Perry,Radostin Kishishev,Danny Murphy,Alexey Smertin,Darren Bent,Jerome Thomas,Dennis Rommedahl
Chelsea,Sunderland,2005-2006 Barclays Premier League,2,0,Petr Cech,Kelvin Davis,William Gallas,John Terry,Asier Del Horno,Shaun Wright-Phillips,Frank Lampard,Michael Essien,Geremi,Eidur Gudjohnsen,Hernan Crespo,Arjen Robben,Nyron Nosworthy,Gary Breen,Alan Stubbs,Justin Hoyte,Dean Whitehead,Julio Arca,Tommy Miller,Christian Bassila,Jonathan Stead,Stephen Elliott
Everton,Portsmouth,2005-2006 Barclays Premier League,0,1,Nigel Martyn,Jamie Ashdown,Tony Hibbert,David Weir,Joseph Yobo,Nuno Valente,Tim Cahill,Kevin Kilbane,Simon Davies,Mikel Arteta,Duncan Ferguson,Marcus Bent,Gregory Vignal,Andrew O'Brien,Dejan Stefanovic,Brian Priske,Gary O'Neil,Richard Hughes,Laurent Robert,Salif Diao,Lomana Tresor LuaLua,Dario Silva
Manchester Utd,Manchester City,2005-2006 Barclays Premier League,1,1,Edwin van der Sar,David James,John O'Shea,Rio Ferdinand,Mikael Silvestre,Gabriel Heinze,Paul Scholes,Darren Fletcher,Alan Smith,Ruud van Nistelrooy,Wayne Rooney,Park Ji-Sung,Danny Mills,Ben Thatcher,Richard Dunne,Sylvain Distin,Claudio Reyna,Trevor Sinclair,Kizito Musampa,Joey Barton,Darius Vassell,Andrew Cole
Newcastle Utd,Fulham,2005-2006 Barclays Premier League,1,1,Shay Given,Tony Warner,Titus Bramble,Celestine Babayaro,Jean Alain Boumsong,Stephen Carr,Scott Parker,Amdy Faye,Steven Taylor,Michael Owen,Alan Shearer,Albert Martos Luque,Moritz Volz,Zat Knight,Niclas Jensen,Carlos Bocanegra,Papa Bouba Diop,Claus Jensen,Steed Malbranque,Tomasz Radzinski,Luis Boa Morte,Brian McBride
Tottenham,Liverpool,2005-2006 Barclays Premier League,0,0,Paul Robinson,Pepe Reina,Ledley King,Anthony Gardner,Paul Stalteri,Lee Young-Pyo,Jermaine Jenas,Michael Carrick,Edgar Davids,Aaron Lennon,Jermain Defoe,Grzegorz Rasiak,Jamie Carragher,Sami Hyypia,Steve Finnan,Dietmar Hamann,Steven Gerrard,John Arne Riise,Luis Garcia,Stephen Warnock,Peter Crouch,Djibril Cisse
West Brom,Wigan Athletic,2005-2006 Barclays Premier League,1,2,Chris Kirkland,Michael Pollitt,Paul Robinson,Neil Clement,Steve Watson,Ronnie Wallwork,Thomas Gaardsoe,Martin Albrechtsen,Jonathan Greening,Darren Carter,Geoff Horsfield,Nathan Ellington,Arjan De Zeeuw,Stephane Henchoz,Leighton Baines,Pascal Chimbonda,Damien Francis,Graham Kavanagh,Jimmy Bullard,Jason Roberts,David Connolly,Lee McCulloch
Middlesbrough,Arsenal,2005-2006 Barclays Premier League,2,1,Mark Schwarzer,Jens Lehmann,Abel Xavier,Ugo Ehiogu,Gareth Southgate,Franck Queudrue,Ray Parlour,George Boateng,Fabio Rochemback,Adam Johnson,Massimo Maccarone,Yakubu Aiyegbeni,Lauren,Ashley Cole,Pascal Cygan,Kolo Toure,Robert Pires,Gilberto Silva,Alexsandr Hleb,Mathieu Flamini,Dennis Bergkamp,Jose Antonio Reyes
Bolton,Blackburn,2005-2006 Barclays Premier League,0,0,Jussi Jaaskelainen,Brad Friedel,Bruno N'Gotty,Tal Ben Haim,Kevin Nolan,Gary Speed,Jay-Jay Okocha,Ivan Campo,Stelios Giannakopoulos,Kevin Davies,Henrik Pedersen,El-Hadji Diouf,Lucas Neill,Zurab Khizanishvili,Dominic Matteo,Aaron Mokoena,Ryan Nelsen,Steven Reid,Robbie Savage,Morten Gamst Pedersen,Brett Emerton,Matt Jansen
West Ham,Aston Villa,2005-2006 Barclays Premier League,4,0,Roy Carroll,Thomas Sorensen,Hayden Mullins,Daniel Gabbidon,Paul Konchesky,Tomas Repka,Anton Ferdinand,Matthew Etherington,Yossi Benayoun,Nigel Reo-Coker,Marlon Harewood,Teddy Sheringham,Liam Ridgewell,Gareth Barry,Aaron Hughes,Wilfred Bouma,Olof Mellberg,Gavin McCann,James Milner,Steven Davis,Kevin Phillips,Milan Baros
Charlton Ath,Chelsea,2005-2006 Barclays Premier League,0,2,Stephan Andersen,Petr Cech,Luke Young,Chris Powell,Hermann Hreidarsson,Chris Perry,Bryan Hughes,Radostin Kishishev,Danny Murphy,Darren Bent,Jerome Thomas,Dennis Rommedahl,William Gallas,John Terry,Ricardo Carvalho,Paulo Ferreira,Damien Duff,Frank Lampard,Michael Essien,Claude Makelele,Hernan Crespo,Arjen Robben
Fulham,West Ham,2005-2006 Barclays Premier League,1,2,Tony Warner,Roy Carroll,Moritz Volz,Zat Knight,Niclas Jensen,Carlos Bocanegra,Papa Bouba Diop,Claus Jensen,Steed Malbranque,Tomasz Radzinski,Luis Boa Morte,Brian McBride,Hayden Mullins,Daniel Gabbidon,Paul Konchesky,Tomas Repka,Anton Ferdinand,Matthew Etherington,Yossi Benayoun,Nigel Reo-Coker,Marlon Harewood,Bobby Zamora
Portsmouth,Birmingham City,2005-2006 Barclays Premier League,1,1,Jamie Ashdown,Maik Taylor,Gregory Vignal,Andrew O'Brien,Dejan Stefanovic,Brian Priske,Gary O'Neil,Richard Hughes,Laurent Robert,Salif Diao,Lomana Tresor LuaLua,Dario Silva,Olivier Tebily,Kenny Cunningham,Matthew Upson,Julian Gray,Damien Johnson,Jermaine Pennant,Nicky Butt,Jiri Jarosik,Emile Heskey,Mikael Forssell
Sunderland,West Brom,2005-2006 Barclays Premier League,1,1,Kelvin Davis,Chris Kirkland,Nyron Nosworthy,Gary Breen,Alan Stubbs,Justin Hoyte,Andy Gray,Dean Whitehead,Julio Arca,Tommy Miller,Christian Bassila,Stephen Elliott,Paul Robinson,Neil Clement,Steve Watson,Ronnie Wallwork,Curtis Davies,Andy Johnson,Jonathan Greening,Robert Earnshaw,Kevin Campbell,Zoltan Gera
Aston Villa,Tottenham,2005-2006 Barclays Premier League,1,1,Thomas Sorensen,Paul Robinson,Liam Ridgewell,Gareth Barry,Aaron Hughes,Wilfred Bouma,Olof Mellberg,Patrik Berger,James Milner,Steven Davis,Juan Pablo Angel,Milan Baros,Ledley King,Anthony Gardner,Paul Stalteri,Lee Young-Pyo,Andy Reid,Jermaine Jenas,Michael Carrick,Teemu Tainio,Jermain Defoe,Grzegorz Rasiak
Liverpool,Manchester Utd,2005-2006 Barclays Premier League,0,0,Pepe Reina,Edwin van der Sar,Jamie Carragher,Sami Hyypia,Steve Finnan,Steven Gerrard,John Arne Riise,Xabi Alonso,Luis Garcia,Stephen Warnock,Peter Crouch,Florent Sinama-Pongolle,John O'Shea,Rio Ferdinand,Mikael Silvestre,Roy Keane,Paul Scholes,Cristiano Ronaldo,Kieran Richardson,Alan Smith,Ruud van Nistelrooy,Wayne Rooney
Blackburn,Newcastle Utd,2005-2006 Barclays Premier League,0,3,Brad Friedel,Shay Given,Lucas Neill,Zurab Khizanishvili,Vratislav Gresko,Aaron Mokoena,Ryan Nelsen,Steven Reid,Robbie Savage,Morten Gamst Pedersen,David Bentley,Craig Bellamy,Celestine Babayaro,Jean Alain Boumsong,Stephen Carr,Lee Bowyer,Lee Clark,Amdy Faye,Steven Taylor,Charles N'Zogbia,Michael Owen,Alan Shearer
Wigan Athletic,Middlesbrough,2005-2006 Barclays Premier League,1,1,Michael Pollitt,Mark Schwarzer,Arjan De Zeeuw,Stephane Henchoz,Leighton Baines,Pascal Chimbonda,Damien Francis,Graham Kavanagh,Jimmy Bullard,Jason Roberts,David Connolly,Lee McCulloch,Abel Xavier,Ugo Ehiogu,Gareth Southgate,Franck Queudrue,Emanuel Pogatetz,George Boateng,Fabio Rochemback,James Morrison,Mark Viduka,Yakubu Aiyegbeni
Manchester City,Bolton,2005-2006 Barclays Premier League,0,1,David James,Jussi Jaaskelainen,Danny Mills,Ben Thatcher,Richard Dunne,Sylvain Distin,Claudio Reyna,Trevor Sinclair,Kizito Musampa,Antoine Sibierski,Joey Barton,Darius Vassell,Bruno N'Gotty,Tal Ben Haim,Radhi Jaidi,Kevin Nolan,Gary Speed,Stelios Giannakopoulos,Abdoulaye Faye,Kevin Davies,Henrik Pedersen,El-Hadji Diouf
Arsenal,Everton,2005-2006 Barclays Premier League,2,0,Jens Lehmann,Nigel Martyn,Lauren,Sol Campbell,Ashley Cole,Kolo Toure,Robert Pires,Freddie Ljungberg,Gilberto Silva,Cesc Fabregas,Jose Antonio Reyes,Robin van Persie,Tony Hibbert,David Weir,Phil Neville,Joseph Yobo,Matteo Ferrari,Tim Cahill,Leon Osman,Mikel Arteta,James McFadden,Marcus Bent
Birmingham City,Liverpool,2005-2006 Barclays Premier League,2,2,Maik Taylor,Pepe Reina,Kenny Cunningham,Matthew Upson,Jamie Clapham,Mario Melchiot,Julian Gray,Damien Johnson,Jermaine Pennant,Neil Kilkenny,Emile Heskey,Mikael Forssell,Jamie Carragher,Sami Hyypia,Josemi,Dietmar Hamann,Steven Gerrard,Boudewijn Zenden,Xabi Alonso,Stephen Warnock,Peter Crouch,Florent Sinama-Pongolle
Chelsea,Aston Villa,2005-2006 Barclays Premier League,2,1,Petr Cech,Thomas Sorensen,William Gallas,John Terry,Ricardo Carvalho,Paulo Ferreira,Damien Duff,Frank Lampard,Michael Essien,Claude Makelele,Hernan Crespo,Arjen Robben,Liam Ridgewell,Gareth Barry,Aaron Hughes,Wilfred Bouma,Olof Mellberg,Patrik Berger,James Milner,Steven Davis,Juan Pablo Angel,Luke Moore
